track_id,filename,track_date,track_time,obj_id,frame_num,obj_state,pos_x,pos_y,width,height
1,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:30:43,1,432,"Enter: 1",507,186,33,29
44,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:30:47,1,475,"Leave: 4",561,332,54,61
65,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:31:20,2,806,"Enter: 1",505,172,30,44
112,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:31:25,2,853,"Leave: 4",567,330,48,63
120,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:31:26,3,860,"Enter: 1",500,157,35,58
187,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:31:31,3,909,"Leave: 4",560,314,52,74
251,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:31:59,4,1194,"Enter: 1",501,184,32,30
307,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:32:05,4,1250,"Leave: 4",564,330,54,59
336,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:32:32,5,1518,"Enter: 3",14,262,62,40
728,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:33:11,5,1909,"Park : Lot C2",427,268,45,54
740,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:33:12,5,1920,"Leave: Lot C2",436,288,35,29
837,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:33:35,6,2148,"Enter: 1",517,183,38,30
862,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:33:37,5,2171,"Park : Lot C2",438,268,36,52
1108,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:34:01,7,2404,"Leave: NTZ 1-1",558,234,52,28
1199,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:34:05,7,2449,"Park : NTZ 1-1",526,233,70,28
1253,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:34:09,7,2485,"Leave: NTZ 1-1",540,234,67,27
1305,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:34:25,5,2643,"Leave: Lot C2",438,276,36,53
1399,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:34:34,5,2736,"Park : Lot C2",439,260,34,52
1427,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:34:37,5,2763,"Leave: Lot C2",441,277,31,29
1462,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:34:54,8,2933,"Enter: 1",494,180,36,40
1591,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:35:06,8,3061,"Park : DANGER ZONE!-1",382,288,92,43
1597,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:35:07,8,3066,"Leave: DANGER ZONE-1",366,288,87,44
1719,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:35:19,9,3187,"Enter: 6",1,373,66,54
1958,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:35:31,10,3306,"Enter: 1",505,185,32,31
2005,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:35:33,9,3322,"Leave: 5",439,428,116,51
2108,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:35:36,10,3356,"Leave: 4",542,324,84,66
2337,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:35:46,11,3456,"Enter: 1",512,183,32,32
2500,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:35:51,8,3510,"Park : Lot B4",347,316,38,41
2592,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:35:55,12,3543,"Enter: 1",506,179,32,35
2594,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:35:55,11,3544,"Leave: 4",584,324,55,63
2687,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083000.mp4",2016-10-18,08:35:58,11,3575,"Enter: 5",556,402,80,77
3065,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083600.mp4",2016-10-18,08:36:12,11,125,"Park : Lot A7",198,340,26,35
3119,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083600.mp4",2016-10-18,08:36:44,13,448,"Enter: 5",547,398,86,81
3175,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083600.mp4",2016-10-18,08:36:50,14,503,"Enter: 2",286,178,45,33
3232,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083600.mp4",2016-10-18,08:36:53,13,532,"Leave: 6",1,373,94,43
3243,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083600.mp4",2016-10-18,08:36:53,14,537,"Leave: 3",32,249,60,47
3265,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083600.mp4",2016-10-18,08:37:07,15,676,"Enter: 1",510,182,29,32
3286,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083600.mp4",2016-10-18,08:37:09,16,696,"Enter: 3",24,245,64,41
3302,"D:\Videos Database\Carpark Data\20161018\c2\20161018_083600.mp4",2016-10-18,08:37:10,12,703,"Park : Lot A9",109,332,72,68
